sozum,anlami,anahtar,turu2,kategori
şans tanımak,"imkân vermek, fırsat vermek.",şans,Deyim,8
şansa bırakmak,oluruna bırakmak.,şans,Deyim,8
şansa kalmak,bir şeyin olabilmesi için çok az umut olmak.,şans,Deyim,9
şansı dönmek,talihi iyiyken kötü veya kötüyken iyi olmak.,şans,Deyim,1
şansı yaver gitmek,"talihli olmak, bahtı açık olmak:<i> 'Şansı yaver gittiği takdirde orta boylu, uzun saçlı esmerine kavuşabilecekti.' -</i>A. Kulin.",şans,Deyim,1
şantaj yapmak,gözdağı vermek.,şantaj,Deyim,8
şap gibi,ağza alınmayacak kadar tuzlu.,şap(II),Deyim,8
şap gibi donmak (kalmak),şaşırarak ses çıkarmayacak duruma gelmek.,şap(II),Deyim,8
şap gibi yanmak,"ortada kalmak, destek bulamamak.",şap(II),Deyim,8
şap ile şeker bir değil,görünüşte birbirine benzeyen şeyler nitelikte birbirinden çok farklı olabilirler.,,Atasözü,9
şapa oturmak,içinden çıkılması güç bir duruma düşmek.,şap(II),Deyim,4
şapka çıkarmak,bir söz veya durum karşısında söyleyecek sözü kalmamak ve takdir etmek.,şapka,Deyim,6
şaplak indirmek,"1) elin içiyle vurmak:<i> 'Zeynep, bir şaplak indirdi önündeki kil hamuruna ve güldü.' -</i>E. Işınsu. 2) tokat atmak.",şaplak,Deyim,8
şaraptan bozma sirke keskin olur,"sonradan azan kişi, eskiden beri yolunu şaşırmış kimseden daha azgın olur.",olmak,Atasözü,8
şarj etmek,"1) yüklemek; 2)<i> argo</i> bir şeyi anlamaya, kavramaya başlamak.",şarj,Deyim,6
şarkı tutturmak,"bir şarkının sözlerini veya sadece bestesini seslendirmek:<i> 'Eğlenmek için derin bir heves doğdu, ıslıkla bir şarkı tutturdu.' -</i>P. Safa.",şarkı,Deyim,4
şart etmek,"'şart olsun' diyerek yemin etmek:<i> 'Anası, oğlan gelirse içeri almayacağına şart etmişti.' -</i>M. Ş. Esendal.",şart(I),Deyim,6
şart koşmak,önceden bir şarta bağlamak:<i> 'Sarfiyat hususunda bir şart koşmuyorlar.' -</i>R. H. Karay.,şart(I),Deyim,4
şart olmak,"gerekmek, kaçınılmaz bir durum almak.",şart(I),Deyim,7
şart olsun,"1) 'nikâhım üzerine yemin ederim ki, öyle değilse veya bunu yapmazsa karım boş düşsün (olsun)' anlamında yemin olarak kullanılan bir söz:<i> 'Artık hep, evli adamlar gibi biz de şart olsun yeminine başladık.' -</i>Ö. Seyfettin. 2) yemin etmek için kullanılan biz söz:<i> 'Kim hapşırırsa şart olsun ki öldürünceye kadar döveceğim.' -</i>Ö. Seyfettin.",şart(I),Deyim,3
şart şurt tanımamak,kendini hiçbir şarta bağlı saymamak.,şart şurt,Deyim,8
"şaşı, çakır demektense kör de, kurtul","üstü kapalı laflar etme, açık konuş, ne diyeceksen de.","demek, kurtulmak",Atasözü,8
şaşırıp kalmak,"çok şaşırmak, büyük bir şaşkınlığa düşmek:<i> 'Beni ilk defa dersler dışında konuşup gülerken görüyor, şaşırıp kalıyorlardı.' -</i>A. Kutlu.",şaşırmak,Deyim,9
"şaşkın misafir, ev sahibini ağırlar",başkalarının görev ve yetkilerine karışmak ahmaklıktır.,"ev, sahip, ağırlamak",Atasözü,8
"şaşkın ördek başını bırakır, kıçından dalar",ne yaptığını bilmeyen kişi işi tersinden yürütmeye kalkar.,"bırakmak, dalmak",Atasözü,8
şaşkına dönmek,"beklenmedik bir durum karşısında şaşkınlaşmak:<i> 'Bunlar da Mustafa Kemal'i ifratlı hareketlere, yanlış yollara sevk etmek töhmeti altında bunalmış, şaşkına dönmüş idiler.' -</i>Y. K. Karaosmanoğlu.",şaşkın,Deyim,6
şato gibi,"büyük, görkemli (yapı).",şato,Deyim,8
şavkı vurmak,"bir şeyin ışığı yansımak:<i> 'Bir ay doğdu ilk akşamdan, geceden / Şavkı vurdu pencereden, peçeden' -</i>Halk türküsü.",şavk,Deyim,4
şeamet tellallığı yapmak,her olayı kötü ve sıkıntı yaratacak biçimde yorumlayıp dile getirmek.,şeamet,Deyim,8
şehadet getirmek,İslam'ın şartlarından 'Tanrı'dan başka tapacak yoktur ve Hz. Muhammed onun kulu ve peygamberidir' anlamına gelen <b> kelimeişehadet </b> adını taşıyan Arapça sözü söylemek,şehadet,Deyim,8
şehadet şerbetini içmek,şehit düşmek.,şehadet,Deyim,8
şehadette bulunmak,tanıklık etmek.,şehadet,Deyim,6
şehit düşmek (olmak),"kutsal bir ülkü veya inanç uğrunda ölmek:<i> 'Biraz sonra Veysel'in arkadaşlarından biri daha şehit oldu.' -</i>M. Ş. Esendal.<i> 'Arkadaşı, düşmanlarla cenge varır ve şehit düşer.' -</i>R. Enis.",şehit,Deyim,8
şehit edilmek,kutsal bir ülkü veya inanç uğrunda öldürülmek.,şehit,Deyim,4
şeker gibi,"1) çok sevimli, güzel; 2) yumuşak huylu, yumuşak davranan:<i> 'Doktor şeker gibi adam, ahbabım.' -</i>N. Hikmet.",şeker,Deyim,9
şekeri kestirmek,"şeker şerbetine, limon suyu veya limon tuzu katarak kaynatıp koyulaşmasını sağlamak.",şeker,Deyim,8
şekerleme yapmak,"kısa bir süre uyumak, kestirmek.",şekerleme,Deyim,4
şekil almak,"belli bir biçime girmek, biçimlenmek, şekillenmek.",şekil,Deyim,7
şekil vermek,"belirli bir biçime girmesini sağlamak, biçimlendirmek, şekillendirmek:<i> 'O, biraz da bana yardım olsun diye, mektepteki Amerika'dan gelen gazeteleri toplar, getirir, bu işe şekil verirdi.' -</i>H. E. Adıvar.",şekil,Deyim,8
şekilci olmak,"belli biçimler, kalıplar dışına çıkamamak:<i> 'Şiir diline dayanan bir edebiyat, konuşma dilinden ayrıldığı ölçüde hayattan kopmak, şekilci olmak zorundadır.' -</i>N. Cumalı.",şekilci,Deyim,1
şenlik görmemiş,"terbiyesiz, görgüsüz (kimse).",şenlik,Deyim,8
şerbet gibi,"yumuşak, güzel (hava).",şerbet,Deyim,8
şerbet içmek,sözlenmek veya nişanlanmak üzere tarafların anlaşması durumunda ezilen şerbet içilerek tören yapmak.,şerbet,Deyim,8
şeref vermek,"onurlandırmak, şereflendirmek.",şeref,Deyim,8
şerh düşmek (koymak),alınan karar veya kararlara karşı olumsuz yönde yazılı görüş bildirmek.,şerh,Deyim,8
şeriatın kestiği parmak acımaz,kanunların uygun gördüğü cezaya katlanmak gerekir.,"kesmek, acımak",Atasözü,8
şerrine lanet,kötü bir kimse ile uğraşmak istenilmediğini veya kaçınıldığını anlatan bir söz.,şer,Deyim,4
şeşi beş görmek,"<i> alay</i> yanlış görmek:<i> 'Asıl âşığın gözü şeşi beş görür, kulağı Mısır'daki sağır sultanın duyduğunu bile duymaz.' -</i>R. H. Karay.",şeş,Deyim,2
şevk vermek,"isteklendirmek:<i> 'Bir bitmeyecek şevk verirken beste / Bir tel kopar, ahenk ebediyen kesilir' -</i>Y. K. Beyatlı.",şevk,Deyim,4
şevke gelmek,"1) isteği, hevesi artmak:<i> 'Öyle keyifleniyor, öyle şevke geliyordu ki...' -</i>Y. Z. Ortaç. 2) neşelenmek.",şevk,Deyim,8
şevke getirmek,"canlandırmak, isteğini artırmak.",şevk,Deyim,8
şevki kırılmak,"isteği, hevesi kalmamak.",şevk,Deyim,8
"şeyh uçmaz, müridi uçurur","bir kişiye inanlar, onu olduğundan çok üstün görürler ve onda olağanüstü özellikler bulunduğuna herkesi inandırmak isterler.","uçmak, mürit, uçurmak",Atasözü,9
şeyhin kerameti kendinden menkul,büyük işler gördüğünü söyleyen birinin sözüne inanılmadığını anlatmak için söylenen bir söz.,şeyh,Deyim,5
şeytan aldatmak,"1) bazı davranışlarda iradeli, güçlü davranamamak, nefsine uymak; 2) uyku hâlindeyken meni boşalmak, düş azmak:<i> 'O gecenin sabahı şeytanın aldattığı vücudunu soğuk suda temizlerdi.' -</i>S. F. Abasıyanık.",şeytan,Deyim,8
şeytan azapta gerek,'sevilmeyen bir kimse zorluk içinde kaldığında bunu hak etmiştir' anlamında kullanılan bir söz.,şeytan,Deyim,3
şeytan diyor ki,"yapılmaması gereken bir davranışı yapma isteği duyulduğunda söylenen bir söz:<i> 'Gül tenli, kor dudaklı, kömür sürmeli / Şeytan diyor ki sarmalı, yüz kere öpmeli' -</i>Y. K. Beyatlı.",şeytan,Deyim,4
şeytan dürtmek,"durup dururken uygunsuz, kötü bir davranışta bulunmak:<i> 'Ama çocukluk işte, şeytan dürttü, ya herrü ya merrü diyerek birden yukarı baktım.' -</i>H. Taner.",şeytan,Deyim,8
şeytan geçmiş gibi,birkaç kişinin konuştuğu sırada kısa bir süre sessizlik olması durumunda kullanılan bir söz.,şeytan,Deyim,3
şeytan geçti,şeytan geçmiş gibi.,şeytan,Deyim,8
şeytan gibi,çok zeki ve kurnaz.,şeytan,Deyim,9
şeytan görsün yüzünü,"sevilmeyen, görmek bile istenilmeyen kimse için söylenen bir söz.",şeytan,Deyim,2
şeytan kandırmak,"düş azmak, şeytan aldatmak.",şeytan,Deyim,8
şeytan kulağına kurşun,"<i> hlk.</i> aksama ihtimali bulunan durum veya işler düzenli gittiğinde 'nazar değmesin' anlamında söylenen bir söz:<i> Şeytan kulağına kurşun, hiçbirimiz hasta olmadık.</i>",şeytan,Deyim,8
şeytana külahı (pabucu) ters giydirmek,"çok kurnaz olmak:<i> 'Fakat aynı zamanda, şeytana külahı ters giydirecek kadar açıkgöz ve kurnazdı.' -</i>R. N. Güntekin.",şeytan,Deyim,9
şeytana parmak ısırtmak,çok kötü ve çirkin bir şey yapmak.,şeytan,Deyim,9
şeytana uymak,kötü bir şey yapma isteğine kapılmak.,şeytan,Deyim,4
şeytanın arka bacağı (kıç bacağı veya art ayağı),çok akıllı ve yaramaz (çocuk).,şeytan,Deyim,9
şeytanın bacağını (ayağını) kırmak,"1) herhangi bir sebeple yapılmayan bir işe başlamak veya gidilmeyen bir yere gitmek; 2) uğursuzluğu, şanssızlığı, aksiliği yenmek.",şeytan,Deyim,4
şeytanın dostluğu darağacına kadardır,kötü arkadaş kişiyi yoldan çıkartıp ölüme kadar sürükleyebilir ama ölümün eşiğinde onu kaderiyle baş başa bırakır.,dostluk,Atasözü,8
şeytanın gör dediği,"başkalarının göremediği, farkına varamadığı incelikler veya gerçekler.",şeytan,Deyim,8
şeytanın işi yok,"'ne hikmetse, aksilik bu ya' anlamında kullanılan bir söz.",şeytan,Deyim,3
şeytanın yattığı yeri bilmek,"bilinmesi ve hatırlanması güç şeyleri bilmek, çok kurnaz ve açıkgöz olmak.",şeytan,Deyim,9
şeytanla kabak ekenin kabak başına patlar,kurnaz ve hileci kimse ile ortaklık eden kişi hilenin en büyük kurbanı olur.,"ekmek, patlamak",Atasözü,8
şeytanla ortak buğday eken samanını alır,"ortağı kurnaz, düzenbaz olanın eline kârdan bir şey geçmez.","ekmek, almak",Atasözü,8
"şık şık (çık çık) eden nalçadır, iş bitiren akçedir","değerli nesneye bir yönüyle benzeyen şey, onun yerini asla tutmaz.","etmek, iş, bitirmek",Atasözü,8
şıkır şıkır oynamak,1) canlı bir biçimde oynamak; 2)<i> mec.</i> çok sevinmek.,şıkır şıkır,Deyim,9
şıp diye,1) 'şıp' sesi çıkararak; 2) ansızın; 3) hemen:<i> 'Öyle bir suratla karşılayacak ki seninki hiç istenmediğini şıp diye anlayıp defolacak.' -</i>A. İlhan.,şıp,Deyim,8
şırınga etmek,gaz veya sıvı bir maddeyi gözenekli başka bir maddenin içine şırınga ile doldurmak.,şırınga,Deyim,6
şırınga yapmak,şırınga ile vücuda gerekli yerinden ilaç vermek.,şırınga,Deyim,8
şiar edinmek,"benimsemek, ilke olarak kabul etmek:<i> 'Zira ki biz, orijinal mevzulara teması şiar edinmişiz.' -</i>N. Hikmet.",şiar,Deyim,6
şiddet göstermek,"kaba, sert davranmak.",şiddet,Deyim,8
şiddete başvurmak,kaba kuvvet kullanmak.,şiddet,Deyim,8
şifa bulmak,"iyi olmak, onmak.",şifa,Deyim,1
şifa niyetine,"bir kimseye ilaç verilirken 'iyi olması, fayda sağlaması dileğiyle' anlamında kullanılan bir söz.",şifa,Deyim,3
şifa vermek,"iyi etmek, sağlığına kavuşturmak:<i> 'Hastalara türlü maceralarla şifa vermesini ben bilirim.' -</i>Y. K. Karaosmanoğlu.",şifa,Deyim,6
şifayı bulmak (kapmak),<i> tkz.</i> hastalanmak veya hastalığı artmak:<i> 'Aksırık öksürük derken kızcağız şifayı kapmış.' -</i>A. İlhan.,şifa,Deyim,8
şifreyi çözmek,1) bir şifrede kullanılan işaretlerin anlamını bulmak; 2)<i> mec.</i> gizli bir olayı anlayıp açıklığa kavuşturmak.,şifre,Deyim,4
şiir düzmek,"şiir yazmak veya söylemek:<i> 'Onun bir parçası olan insan da tazelenir bu mevsimde, ozanların şiir düzmeleri bu yüzdendir işte.' -</i>M. C. Anday.",şiir,Deyim,8
şiir gibi,"çok güzel, çok hoş.",şiir,Deyim,9
şikâyet getirmek,"sızlanmak, yakınmak:<i> 'Hüsmen de yorgunluğundan şikâyet getirmiyor, hak uğruna çalışmak ona yol mihnetlerini unutturuyordu.' -</i>R. H. Karay.",şikâyet,Deyim,8
şikâyette bulunmak,"yakınmak, şikâyet etmek.",şikâyet,Deyim,6
şike yapmak,1) danışık spor karşılaşması yapmak; 2)<i> mec.</i> bir çıkar karşılığı anlaşarak bir işi yapmak.,şike,Deyim,4
şimdiden tezi yok,"vakit geçirmeden, hemen şimdi.",şimdi,Deyim,8
şimşek çakmadan gök gürlemez,1) meydana gelmemiş bir olayın yankısı olmaz; 2) bir gürültü kopmadan önce belirtileri görülür.,"çakmak, gürlemek",Atasözü,4
şimşek çakmak,şimşek oluşmak:<i> 'Üst üste birkaç şimşek çakıyor.' -</i>A. İlhan.,şimşek,Deyim,8
şimşek gibi,çok hızlı:<i> 'Şimşek gibi bir semte atıldık yedi koldan / Şimşek gibi Türk atlarının geçtiği yoldan' -</i>Y. K. Beyatlı.,şimşek,Deyim,9
şimşekleri üstüne çekmek,sert eleştirilere hedef olmak.,şimşek,Deyim,1
şirazeden çıkmak,1) kitabın sırt bölümünde bulunan enli şeridin bozulması sebebiyle sayfalar dağılmak; 2)<i> mec.</i> akıl dengesini kaybetmek.,şiraze,Deyim,8
şirk koşmak,"Tanrı'nın birden çok olduğunu söylemek, Tanrı'ya ortak tanımak, eş koşmak.",şirk,Deyim,9
şişe çekmek (vurmak),"ağrı dindirmek amacıyla içinde alev yakılarak havası seyreltilen özel bir şişeyi veya bardağı sırta yapıştırmak, vantuz çekmek:<i> 'Annem şişe çekerken kıvrılmış gazete kâğıdıyla yaptığı küçük alevli ısıtıcıları tenimize düşürür, yakardı.' -</i>A. Kutlu.",şişe(I),Deyim,8
şöhret afettir,"kişinin kazandığı ün, her zaman hoşa giden bir durum sağlamaz, kişi gücünü aşan istekler, zorlamalar karşısında bunalır.",,Atasözü,2
şöhret bulmak (kazanmak),"ün sahibi olmak, üne kavuşmak, ünlenmek:<i> 'Fakat Nedim'den hoşlanan kızlarla kadınların çoğu onu, yeni şöhret bulan bir sinema aktörüne benzetmektedir.' -</i>Y. K. Karaosmanoğlu.<i> 'Her mahallede hatta satıcılar arasında şöhret kazanmış olan güzel sesliler bulunurdu.' -</i>A. Ş. Hisar.",şöhret,Deyim,8
şöhret kapısı açılmak,meşhur olmaya başlamak.,şöhret,Deyim,8
şöhret salmak,"ünü yayılmak:<i> 'Burada jandarma teğmeni olsun da daha bir defa, Ankara'da şöhret salmış olan o gözleri görmesin.' -</i>R. H. Karay.",şöhret,Deyim,8
şöhreti dünyayı tutmak,çok tanınmak:<i> 'Bizim evin altında şöhreti dünyayı tutmuş bir turşucu dükkânı vardı.' -</i>R. H. Karay.,şöhret,Deyim,9
şölen çekmek,"1) şölen düzenlemek, ziyafet vermek; 2)<i> mec.</i> sanat gösterisinde bulunmak:<i> Konuşmanın şurasına burasına espriler serpiştirerek size bir konuşma şöleni çekerdi.</i>",şölen,Deyim,8
şöyle bir bakmak (göz atmak),kısaca bakmak.,şöyle bir,Deyim,4
şöyle dursun,"bir işin gerçekleşmekten çok uzak bulunduğunu, ona bağlı daha kolay, daha basit bir şeyin bile gerçekleşmediğini anlatan bir söz:<i> Uyumak şöyle dursun, biraz dinlenmek bile mümkün olmadı.</i>",şöyle,Deyim,2
şöyle ki,bir düşünceyi açıklamak için söylenecek sözlerin başına gelen bağlaç.,şöyle,Deyim,4
şu denli,"çok, fazla.",şu,Deyim,9
şu günlerde (sırada),1) çok uzak olmayan bir zamanda; 2) içinde yaşadığımız günlerde:<i> 'Şu sırada bütün belalar neredeysem gelip beni buluyor.' -</i>A. İlhan.,şu,Deyim,9
şu kadar,çok fazla.,şu,Deyim,9
şu kadar ki,"ancak, bununla birlikte, ne var ki.",şu,Deyim,8
şuna bak,hafifsemek veya kınamak için söylenen bir söz.,şu,Deyim,4
şuna buna,başkalarına.,şu bu,Deyim,8
(şuna veya buna) kalsa (kalırsa),"1) herhangi birinin kanısınca:<i> Bana kalırsa siz yanılıyorsunuz.</i> 2) elinden gelse, elinde olsa:<i> 'Bana kalsa çok daha önce gelirdim buraya.' -</i>A. Ümit.",kalmak,Deyim,5
şunda bunda,herkeste.,şu bu,Deyim,8
şundan bundan,belirsiz şeylerden.,şu bu,Deyim,8
şundan bundan konuşmak,havadan sudan konuşmak.,şu bu,Deyim,8
(şundan veya bundan) kalır yeri yok,"ayrımsız, farksız:<i> 'Bu heriften bıktım. Macit'ten kalır yeri yok.' -</i>N. Hikmet.",kalmak,Deyim,8
şunu bunu,"çeşitli nesneleri:<i> 'Hacı'dan gereken şunu bunu alarak toprağın şu parçasını, o parçasını rehin verdik.' -</i>Halikarnas Balıkçısı.",şu bu,Deyim,8
şunu bunu bilmemek,"itiraz dinlememek, mazeret kabul etmemek.",şu bu,Deyim,8
şunun bunun,"1) herkesin, el âlemin:<i> 'Başlarını dinlerler, kumru gibi yuvalarında oturur, şunun bunun aleyhinde konuşmazlar.' -</i>B. Felek. 2) kimliği belli olmayanın, adı sanı bilinmeyenin:<i> 'Çiftliği her zamanki gibi şunun bunun elinde unutulmuş buldu.' -</i>N. Cumalı.",şu bu,Deyim,8
şunun şurası,"küçümseme, azımsama anlatan bir söz:<i> 'Bir incir çekirdeğini doldurmayan sebeplerle şunun şurasında ne var ki ağzımızın tadını kaçırıyorsunuz.' -</i>O. C. Kaygılı.",şu,Deyim,4
şurada burada,"birçok yerde, rastgele yerde.",şurada,Deyim,8
şuradan buradan,"1) birçok yerden, rastgele yerden; 2) her konudan.",şura,Deyim,8
şusu busu,"belirsiz mal varlığı:<i> 'Adamın bizim adada yalıları, şatosu, köşkü, şusu busu vardır.' -</i>S. F. Abasıyanık.",şu,Deyim,8
şut atmak (çekmek),topu sert ve hızlı bir biçimde kaleye atmak.,şut,Deyim,4
şüphe bırakmamak,kuşkuya sebep olan bütün ihtimalleri ortadan kaldırmak.,şüphe,Deyim,8
şüphe etmek,kuşkulanmak:<i> 'Bu sözünde samimi olduğuna hiç şüphe etmem.' -</i>F. R. Atay.,şüphe,Deyim,6
şüphe uyanmak,kuşku uyanmak.,şüphe,Deyim,8
şüphe yok,"kuşku yok:<i> 'Evinde yalnız olduğu ve hiç şüphe yok, birçok işi olduğu hâlde saatlerce benim için o pencerenin önünde duruyor.' -</i>M. Ş. Esendal.",şüphe,Deyim,8
şüpheye düşmek,kuşkulanmak:<i> 'Yaşayışı şüpheye düşürmüştü beni.' -</i>Y. Z. Ortaç.,şüphe,Deyim,8
şüpheye kapılmak,"şüphe duymak:<i> 'Eski bir bakan Ankara'nın bir köşesinde bir apartman mı yaptırmış, İsmet Paşa derhâl bir haksız iktisap şüphesine kapılıyordu.' -</i>Y. K. Karaosmanoğlu.",şüphe,Deyim,4
şüyu bulmak,"herkes tarafından duyulmak, yayılmak.",şüyu,Deyim,8
şüyuu vukuundan beter,"bir şeyin dedikodusunun yapılması, onun gerçekleşmesinden daha kötüdür.",,Atasözü,4
ta kendisi,"<i>(ta kısa söylenir)</i> o kimse, tastamam kendisi.",ta,Deyim,8
taam etmek,yemek yemek.,taam,Deyim,0
tabak gibi,dümdüz ve açık (yer).,tabak(I),Deyim,8
tabak sevdiği deriyi taştan taşa (yerden yere) çalar,birinin yakınlarına gösterdiği sert davranış onun iyiliği içindir.,"sevmek, çalmak",Atasözü,5
tabakhaneye bok mu yetiştiriyorsun? (göytürüyorsun?),'işin bu denli acele ve önemli mi?' anlamında kullanılan bir söz.,tabakhane,Deyim,3
"taban çıkmak (girmek, koymak)",futbolda topla oynayan oyuncunun hareketini engellemek için doğrudan doğruya tabanla müdahale etmek.,taban(I),Deyim,6
taban tabana zıt (olmak),"birbirine son derece aykırı:<i> 'Hiç değilse bir gazetemiz, bizim fikirlerimizle taban tabana zıt olacaktır.' -</i>N. F. Kısakürek.",taban(I),Deyim,8
taban tepmek (patlatmak),uzun yol yürümek:<i> 'Her akşam gazete başına kırk para kazanmak için şehrin dört bir köşesinden buraya kadar taban tepmek...' -</i>R. N. Güntekin.,taban(I),Deyim,8
taban yapmak,"<i> ekon.</i> fiyat, en aşağı duruma düşmek.",taban(I),Deyim,8
tabana kuvvet,"bir yere yayan gitmekten başka çare olmadığını anlatan bir söz:<i> Haydi bakalım, tabana kuvvet!</i>",taban(I),Deyim,4
tabana kuvvet kaçmak,"çok hızlı, koşarak kaçmak:<i> 'Sanki yerden taş aldığımı, hayır eğildiğimi görmüş gibi tabana kuvvet kaçıyor.' -</i>S. F. Abasıyanık.",taban(I),Deyim,9
